TOA,Delta TOA,PW,power,angle
69,0.0,0.4,1.7,34
127,58.0,0.3,1.4,3
138,11.0,0.4,1.7,34
207,69.0,0.4,1.7,34
244,37.0,0.3,1.4,3
276,32.0,0.4,1.7,34
345,69.0,0.4,1.7,34
361,16.0,0.3,1.4,3
414,53.0,0.4,1.7,34
478,64.0,0.3,1.4,3
483,5.0,0.4,1.7,34
552,69.0,0.4,1.7,34
595,43.0,0.3,1.4,3
621,26.0,0.4,1.7,34
690,69.0,0.4,1.7,34
712,22.0,0.3,1.4,3
759,47.0,0.4,1.7,34
828,69.0,0.4,1.7,34
829,1.0,0.3,1.4,3
897,68.0,0.4,1.7,34
946,49.0,0.3,1.4,3
966,20.0,0.4,1.7,34
1035,69.0,0.4,1.7,34
1063,28.0,0.3,1.4,3
1104,41.0,0.4,1.7,34
1173,69.0,0.4,1.7,34
1180,7.0,0.3,1.4,3
1242,62.0,0.4,1.7,34
1252,10.0,0.3,1.4,3
1311,59.0,0.4,1.7,34
1324,13.0,0.3,1.4,3
1380,56.0,0.4,1.7,34
1396,16.0,0.3,1.4,3
1449,53.0,0.4,1.7,34
1468,19.0,0.3,1.4,3
1518,50.0,0.4,1.7,34
1540,22.0,0.3,1.4,3
1587,47.0,0.4,1.7,34
1612,25.0,0.3,1.4,3
1656,44.0,0.4,1.7,34
1684,28.0,0.3,1.4,3
1725,41.0,0.4,1.7,34
1756,31.0,0.3,1.4,3
1794,38.0,0.4,1.7,34
1828,34.0,0.3,1.4,3
1863,35.0,0.4,1.7,34
1900,37.0,0.3,1.4,3
1932,32.0,0.4,1.7,34
2001,69.0,0.4,1.7,34
2044,43.0,0.3,1.4,3
2070,26.0,0.4,1.7,34
2188,118.0,0.3,1.4,3
2231,43.0,0.4,1.7,34
2332,101.0,0.3,1.4,3
2392,60.0,0.4,1.7,34
2476,84.0,0.3,1.4,3
2553,77.0,0.4,1.7,34
2620,67.0,0.3,1.4,3
2714,94.0,0.4,1.7,34
2764,50.0,0.3,1.4,3
2875,111.0,0.4,1.7,34
2908,33.0,0.3,1.4,3
3036,128.0,0.4,1.7,34
3052,16.0,0.3,1.4,3
3197,145.0,0.4,1.7,34
3358,161.0,0.4,1.7,34
3519,161.0,0.4,1.7,34
3680,161.0,0.4,1.7,34
3841,161.0,0.4,1.7,34
4002,161.0,0.4,1.7,34
4163,161.0,0.4,1.7,34
4324,161.0,0.4,1.7,34
4485,161.0,0.4,1.7,34
4646,161.0,0.4,1.7,34
4807,161.0,0.4,1.7,34
4968,161.0,0.4,1.7,34
5129,161.0,0.4,1.7,34
5290,161.0,0.4,1.7,34
5451,161.0,0.4,1.7,34
5612,161.0,0.4,1.7,34
5773,161.0,0.4,1.7,34
5934,161.0,0.4,1.7,34
6095,161.0,0.4,1.7,34
6256,161.0,0.4,1.7,34
6417,161.0,0.4,1.7,34
6578,161.0,0.4,1.7,34
6739,161.0,0.4,1.7,34
6900,161.0,0.4,1.7,34
6946,46.0,0.4,1.7,34
6992,46.0,0.4,1.7,34
7038,46.0,0.4,1.7,34
7084,46.0,0.4,1.7,34
7120,36.0,0.3,1.4,3
7130,10.0,0.4,1.7,34
7176,46.0,0.4,1.7,34
7222,46.0,0.4,1.7,34
7268,46.0,0.4,1.7,34
7314,46.0,0.4,1.7,34
7360,46.0,0.4,1.7,34
7406,46.0,0.4,1.7,34
7435,29.0,0.3,1.4,3
7452,17.0,0.4,1.7,34
7498,46.0,0.4,1.7,34
7544,46.0,0.4,1.7,34
7590,46.0,0.4,1.7,34
7636,46.0,0.4,1.7,34
7682,46.0,0.4,1.7,34
7728,46.0,0.4,1.7,34
7750,22.0,0.3,1.4,3
7774,24.0,0.4,1.7,34
7820,46.0,0.4,1.7,34
7866,46.0,0.4,1.7,34
7912,46.0,0.4,1.7,34
7958,46.0,0.4,1.7,34
8004,46.0,0.4,1.7,34
8050,46.0,0.4,1.7,34
8065,15.0,0.3,1.4,3
8096,31.0,0.4,1.7,34
8142,46.0,0.4,1.7,34
8188,46.0,0.4,1.7,34
8234,46.0,0.4,1.7,34
8280,46.0,0.4,1.7,34
8380,100.0,0.3,1.4,3
8602,222.0,0.4,1.7,34
8695,93.0,0.3,1.4,3
8924,229.0,0.4,1.7,34
9010,86.0,0.3,1.4,3
9246,236.0,0.4,1.7,34
9568,322.0,0.4,1.7,34
9890,322.0,0.4,1.7,34
10212,322.0,0.4,1.7,34
10534,322.0,0.4,1.7,34
10856,322.0,0.4,1.7,34
11178,322.0,0.4,1.7,34
11500,322.0,0.4,1.7,34
11822,322.0,0.4,1.7,34
12144,322.0,0.4,1.7,34
12466,322.0,0.4,1.7,34
12788,322.0,0.4,1.7,34
13110,322.0,0.4,1.7,34
13432,322.0,0.4,1.7,34
13754,322.0,0.4,1.7,34
14076,322.0,0.4,1.7,34
14398,322.0,0.4,1.7,34
14720,322.0,0.4,1.7,34
15042,322.0,0.4,1.7,34
15364,322.0,0.4,1.7,34
15686,322.0,0.4,1.7,34
16008,322.0,0.4,1.7,34
16330,322.0,0.4,1.7,34
16652,322.0,0.4,1.7,34
16974,322.0,0.4,1.7,34
17296,322.0,0.4,1.7,34
17618,322.0,0.4,1.7,34
17940,322.0,0.4,1.7,34
18055,115.0,0.4,1.7,34
18170,115.0,0.4,1.7,34
18285,115.0,0.4,1.7,34
18400,115.0,0.4,1.7,34
18515,115.0,0.4,1.7,34
18630,115.0,0.4,1.7,34
18745,115.0,0.4,1.7,34
18860,115.0,0.4,1.7,34
18975,115.0,0.4,1.7,34
19090,115.0,0.4,1.7,34
