TOA,Delta TOA,PW,power,angle
553.9,161.5,0.4,1.6,43
1095.7,344.6,0.4,1.6,43
1667.6,108.3,0.4,1.6,43
2209.4,315.1,0.4,1.6,43
2763.2,462.8,0.4,1.6,43
3311.0,273.5,0.4,1.6,43
3870.9,498.3,0.4,1.6,43
4436.8,378.3,0.4,1.6,43
4978.6,541.8,0.4,1.6,43
5538.4,559.8,0.4,1.6,43
6122.4,613.3,0.4,1.6,43
6682.2,559.8,0.4,1.6,43
7236.1,553.9,0.4,1.6,43
7820.0,895.7,0.4,1.6,43
8373.9,553.9,0.4,1.6,43
8927.7,899.6,0.4,1.6,43
9499.6,571.9,0.4,1.6,43
10059.5,559.9,0.4,1.6,43
10607.3,1069.4,0.4,1.6,43
11155.1,547.8,0.4,1.6,43
11690.9,1033.5,0.4,1.6,43
12244.7,553.8,0.4,1.6,43
12780.5,1023.3,0.4,1.6,43
13340.4,559.9,0.4,1.6,43
13888.2,547.8,0.4,1.6,43
14424.0,1204.3,0.4,1.6,43
14977.8,553.8,0.4,1.6,43
15561.7,1183.1,0.4,1.6,43
16103.5,541.8,0.4,1.6,43
16639.3,1113.5,0.4,1.6,43
17211.2,571.9,0.4,1.6,43
17783.1,571.9,0.4,1.6,43
18337.0,1443.4,0.4,1.6,43
18872.7,535.7,0.4,1.6,43
19450.7,1429.7,0.4,1.6,43
19998.5,547.8,0.4,1.6,43
20564.4,565.9,0.4,1.6,43
21100.1,1569.3,0.4,1.6,43
21648.0,547.9,0.4,1.6,43
22207.8,1573.2,0.4,1.6,43
22761.7,553.9,0.4,1.6,43
23309.5,547.8,0.4,1.6,43
23863.3,1722.9,0.4,1.6,43
24399.1,535.8,0.4,1.6,43
24940.9,1716.4,0.4,1.6,43
25476.7,535.8,0.4,1.6,43
26030.5,553.8,0.4,1.6,43
26584.4,1862.0,0.4,1.6,43
27144.2,559.8,0.4,1.6,43
27692.0,1846.1,0.4,1.6,43
28227.8,535.8,0.4,1.6,43
28799.7,1909.2,0.4,1.6,43
29365.6,565.9,0.4,1.6,43
29901.4,535.8,0.4,1.6,43
30491.3,2225.0,0.4,1.6,43
31081.3,590.0,0.4,1.6,43
31629.1,2231.4,0.4,1.6,43
32201.0,571.9,0.4,1.6,43
32736.8,535.8,0.4,1.6,43
33320.7,2362.0,0.4,1.6,43
33898.7,578.0,0.4,1.6,43
34458.5,2392.1,0.4,1.6,43
35048.5,590.0,0.4,1.6,43
35596.3,547.8,0.4,1.6,43
36180.2,2592.2,0.4,1.6,43
36716.0,535.8,0.4,1.6,43
37287.9,2635.6,0.4,1.6,43
37829.7,541.8,0.4,1.6,43
38413.7,2677.3,0.4,1.6,43
38949.4,535.7,0.4,1.6,43
39515.3,565.9,0.4,1.6,43
40093.2,2839.1,0.4,1.6,43
40677.2,584.0,0.4,1.6,43
41237.0,2871.3,0.4,1.6,43
41821.0,584.0,0.4,1.6,43
42374.8,553.8,0.4,1.6,43
42910.6,3062.7,0.4,1.6,43
43458.4,547.8,0.4,1.6,43
44030.3,3027.4,0.4,1.6,43
44602.2,571.9,0.4,1.6,43
45144.0,3017.6,0.4,1.6,43
45715.9,571.9,0.4,1.6,43
46275.8,3061.4,0.4,1.6,43
46829.6,553.8,0.4,1.6,43
47413.6,584.0,0.4,1.6,43
47967.4,3333.9,0.4,1.6,43
48509.2,541.8,0.4,1.6,43
49099.2,590.0,0.4,1.6,43
49671.1,3654.0,0.4,1.6,43
50206.8,535.7,0.4,1.6,43
50742.6,3605.9,0.4,1.6,43
51332.6,590.0,0.4,1.6,43
51892.4,559.8,0.4,1.6,43
52458.3,3843.4,0.4,1.6,43
53036.2,577.9,0.4,1.6,43
53572.0,535.8,0.4,1.6,43
54149.9,4147.4,0.4,1.6,43
54703.8,553.9,0.4,1.6,43
55293.7,589.9,0.4,1.6,43
55859.6,4457.7,0.4,1.6,43
56413.5,553.9,0.4,1.6,43
56955.3,4366.9,0.4,1.6,43
57491.0,535.7,0.4,1.6,43
58032.8,541.8,0.4,1.6,43
58568.6,4545.3,0.4,1.6,43
59110.4,541.8,0.4,1.6,43
59676.3,4521.6,0.4,1.6,43
60248.2,571.9,0.4,1.6,43
60826.1,577.9,0.4,1.6,43
61373.9,4701.5,0.4,1.6,43
61933.8,559.9,0.4,1.6,43
62499.7,4688.1,0.4,1.6,43
63041.5,541.8,0.4,1.6,43
63601.3,559.8,0.4,1.6,43
64173.2,4855.8,0.4,1.6,43
64709.0,535.8,0.4,1.6,43
65299.0,4921.2,0.4,1.6,43
65846.8,547.8,0.4,1.6,43
66430.7,583.9,0.4,1.6,43
66984.6,5112.7,0.4,1.6,43
67544.4,559.8,0.4,1.6,43
68086.2,541.8,0.4,1.6,43
68652.1,5349.3,0.4,1.6,43
69230.0,577.9,0.4,1.6,43
69820.0,5433.1,0.4,1.6,43
70385.9,565.9,0.4,1.6,43
70975.8,5406.3,0.4,1.6,43
71511.6,535.8,0.4,1.6,43
72071.5,559.9,0.4,1.6,43
72643.4,5564.2,0.4,1.6,43
73215.3,571.9,0.4,1.6,43
73805.2,5645.9,0.4,1.6,43
74371.1,565.9,0.4,1.6,43
74937.0,565.9,0.4,1.6,43
75514.9,5853.7,0.4,1.6,43
76104.9,590.0,0.4,1.6,43
76682.8,5866.5,0.4,1.6,43
77236.6,553.8,0.4,1.6,43
77808.5,571.9,0.4,1.6,43
78368.4,6144.9,0.4,1.6,43
78940.3,571.9,0.4,1.6,43
79500.2,6165.0,0.4,1.6,43
80066.0,565.8,0.4,1.6,43
80644.0,6145.9,0.4,1.6,43
81191.8,547.8,0.4,1.6,43
81781.7,589.9,0.4,1.6,43
82323.5,6343.2,0.4,1.6,43
82871.4,547.9,0.4,1.6,43
83437.2,6298.0,0.4,1.6,43
83979.0,541.8,0.4,1.6,43
84514.8,535.8,0.4,1.6,43
85080.7,6455.3,0.4,1.6,43
85640.6,559.9,0.4,1.6,43
86230.5,589.9,0.4,1.6,43
86802.4,6667.3,0.4,1.6,43
87356.3,553.9,0.4,1.6,43
87898.1,6694.7,0.4,1.6,43
88433.8,535.7,0.4,1.6,43
88981.7,547.9,0.4,1.6,43
89559.6,6866.1,0.4,1.6,43
90125.5,565.9,0.4,1.6,43
90679.3,553.8,0.4,1.6,43
91251.2,7154.3,0.4,1.6,43
91799.0,547.8,0.4,1.6,43
92389.0,7235.7,0.4,1.6,43
92978.9,589.9,0.4,1.6,43
93562.9,584.0,0.4,1.6,43
94098.7,7447.4,0.4,1.6,43
94634.4,535.7,0.4,1.6,43
95218.4,7455.5,0.4,1.6,43
95772.2,553.8,0.4,1.6,43
96308.0,535.8,0.4,1.6,43
96843.8,7610.5,0.4,1.6,43
97403.6,559.8,0.4,1.6,43
97987.6,584.0,0.4,1.6,43
98553.5,7826.2,0.4,1.6,43
99131.4,577.9,0.4,1.6,43
99673.2,7822.4,0.4,1.6,43
100263.1,589.9,0.4,1.6,43
100835.0,7908.1,0.4,1.6,43
101388.9,553.9,0.4,1.6,43
101948.7,559.8,0.4,1.6,43
102484.5,8118.7,0.4,1.6,43
103056.4,571.9,0.4,1.6,43
103604.2,8142.6,0.4,1.6,43
104176.1,571.9,0.4,1.6,43
104760.1,8131.6,0.4,1.6,43
105326.0,565.9,0.4,1.6,43
105873.8,547.8,0.4,1.6,43
106421.6,8342.5,0.4,1.6,43
106969.4,547.8,0.4,1.6,43
107553.4,584.0,0.4,1.6,43
108089.1,8618.4,0.4,1.6,43
108679.1,590.0,0.4,1.6,43
109269.1,8686.8,0.4,1.6,43
109841.0,571.9,0.4,1.6,43
110382.8,8704.6,0.4,1.6,43
110924.6,541.8,0.4,1.6,43
111490.4,565.8,0.4,1.6,43
112044.3,8943.1,0.4,1.6,43
112622.2,577.9,0.4,1.6,43
113200.1,9006.9,0.4,1.6,43
113735.9,535.8,0.4,1.6,43
114277.7,541.8,0.4,1.6,43
114837.6,9229.3,0.4,1.6,43
115427.5,589.9,0.4,1.6,43
115975.3,547.8,0.4,1.6,43
116535.2,9499.9,0.4,1.6,43
117101.1,565.9,0.4,1.6,43
117654.9,553.8,0.4,1.6,43
118202.7,9708.8,0.4,1.6,43
118750.6,547.9,0.4,1.6,43
119316.4,565.8,0.4,1.6,43
119852.2,9955.0,0.4,1.6,43
120388.0,535.8,0.4,1.6,43
120965.9,9984.6,0.4,1.6,43
121513.7,547.8,0.4,1.6,43
122091.7,578.0,0.4,1.6,43
122657.5,10166.4,0.4,1.6,43
123193.3,535.8,0.4,1.6,43
123771.2,10215.8,0.4,1.6,43
124331.1,559.9,0.4,1.6,43
124909.0,577.9,0.4,1.6,43
125493.0,10439.6,0.4,1.6,43
126082.9,589.9,0.4,1.6,43
126666.9,10450.6,0.4,1.6,43
127220.7,553.8,0.4,1.6,43
127780.6,10377.8,0.4,1.6,43
128358.5,577.9,0.4,1.6,43
128918.3,559.8,0.4,1.6,43
129502.3,10708.0,0.4,1.6,43
130056.1,553.8,0.4,1.6,43
130634.0,10664.9,0.4,1.6,43
131187.9,553.9,0.4,1.6,43
