TOA,Delta TOA,PW,power,angle
69,0,0.4,1.7,34
127,58,0.3,1.4,3
138,11,0.4,1.7,34
207,69,0.4,1.7,34
244,37,0.3,1.4,3
276,32,0.4,1.7,34
345,69,0.4,1.7,34
361,16,0.3,1.4,3
412.4,51.4,0.5,1.9,37
414,1.6,0.4,1.7,34
478,64,0.3,1.4,3
483,5,0.4,1.7,34
552,69,0.4,1.7,34
573.9,21.9,0.4,1.6,43
595,21.1,0.3,1.4,3
621,26,0.4,1.7,34
690,69,0.4,1.7,34
712,22,0.3,1.4,3
759,47,0.4,1.7,34
771.1,12.1,0.5,1.9,37
828,56.9,0.4,1.7,34
829,1,0.3,1.4,3
897,68,0.4,1.7,34
946,49,0.3,1.4,3
966,20,0.4,1.7,34
1035,69,0.4,1.7,34
1063,28,0.3,1.4,3
1104,41,0.4,1.7,34
1115.7,11.7,0.4,1.6,43
1173,57.3,0.4,1.7,34
1180,7,0.3,1.4,3
1242,62,0.4,1.7,34
1252,10,0.3,1.4,3
1311,59,0.4,1.7,34
1324,13,0.3,1.4,3
1380,56,0.4,1.7,34
1396,16,0.3,1.4,3
1414.7,18.7,0.6,2.4,52
1449,34.3,0.4,1.7,34
1468,19,0.3,1.4,3
1518,50,0.4,1.7,34
1540,22,0.3,1.4,3
1579.3,39.3,0.5,1.9,37
1587,7.7,0.4,1.7,34
1612,25,0.3,1.4,3
1656,44,0.4,1.7,34
1684,28,0.3,1.4,3
1687.6,3.6,0.4,1.6,43
1725,37.4,0.4,1.7,34
1756,31,0.3,1.4,3
1794,38,0.4,1.7,34
1828,34,0.3,1.4,3
1863,35,0.4,1.7,34
1900,37,0.3,1.4,3
1914.3,14.3,0.5,1.9,37
1932,17.7,0.4,1.7,34
2001,69,0.4,1.7,34
2044,43,0.3,1.4,3
2070,26,0.4,1.7,34
2188,118,0.3,1.4,3
2229.4,41.4,0.4,1.6,43
2231,1.6,0.4,1.7,34
2320.4,89.4,0.5,1.9,37
2332,11.6,0.3,1.4,3
2392,60,0.4,1.7,34
2476,84,0.3,1.4,3
2553,77,0.4,1.7,34
2620,67,0.3,1.4,3
2663.3,43.3,0.5,1.9,37
2714,50.7,0.4,1.7,34
2734.4,20.4,0.6,2.4,52
2764,29.6,0.3,1.4,3
2783.2,19.2,0.4,1.6,43
2875,91.8,0.4,1.7,34
2908,33,0.3,1.4,3
3036,128,0.4,1.7,34
3052,16,0.3,1.4,3
3057.5,5.5,0.5,1.9,37
3196,138.5,0.3,1.4,3
3197,1,0.4,1.7,34
3331,134,0.4,1.6,43
3340,9,0.3,1.4,3
3358,18,0.4,1.7,34
3385,27,0.3,1.4,3
3392.6,7.6,0.5,1.9,37
3430,37.4,0.3,1.4,3
3519,89,0.4,1.7,34
3680,161,0.4,1.7,34
3841,161,0.4,1.7,34
