TOA,Delta TOA,PW,power,angle
117,0,0.3,1.4,3
234,117,0.3,1.4,3
351,117,0.3,1.4,3
468,117,0.3,1.4,3
585,117,0.3,1.4,3
702,117,0.3,1.4,3
819,117,0.3,1.4,3
936,117,0.3,1.4,3
1053,117,0.3,1.4,3
1170,117,0.3,1.4,3
1242,72,0.3,1.4,3
1314,72,0.3,1.4,3
1386,72,0.3,1.4,3
1458,72,0.3,1.4,3
1530,72,0.3,1.4,3
1602,72,0.3,1.4,3
1674,72,0.3,1.4,3
1746,72,0.3,1.4,3
1818,72,0.3,1.4,3
1890,72,0.3,1.4,3
2034,144,0.3,1.4,3
2178,144,0.3,1.4,3
2322,144,0.3,1.4,3
2466,144,0.3,1.4,3
2610,144,0.3,1.4,3
2754,144,0.3,1.4,3
2898,144,0.3,1.4,3
3042,144,0.3,1.4,3
3186,144,0.3,1.4,3
3330,144,0.3,1.4,3
3375,45,0.3,1.4,3
3420,45,0.3,1.4,3
3465,45,0.3,1.4,3
3510,45,0.3,1.4,3
3555,45,0.3,1.4,3
3600,45,0.3,1.4,3
3645,45,0.3,1.4,3
3690,45,0.3,1.4,3
3735,45,0.3,1.4,3
3780,45,0.3,1.4,3
3987,207,0.3,1.4,3
4194,207,0.3,1.4,3
4401,207,0.3,1.4,3
4608,207,0.3,1.4,3
4815,207,0.3,1.4,3
5022,207,0.3,1.4,3
5229,207,0.3,1.4,3
5436,207,0.3,1.4,3
5643,207,0.3,1.4,3
5850,207,0.3,1.4,3
6165,315,0.3,1.4,3
6480,315,0.3,1.4,3
6795,315,0.3,1.4,3
7110,315,0.3,1.4,3
7425,315,0.3,1.4,3
7740,315,0.3,1.4,3
8055,315,0.3,1.4,3
8370,315,0.3,1.4,3
8685,315,0.3,1.4,3
9000,315,0.3,1.4,3
9144,144,0.3,1.4,3
9288,144,0.3,1.4,3
9432,144,0.3,1.4,3
9576,144,0.3,1.4,3
9720,144,0.3,1.4,3
9864,144,0.3,1.4,3
10008,144,0.3,1.4,3
10152,144,0.3,1.4,3
10296,144,0.3,1.4,3
10440,144,0.3,1.4,3
10566,126,0.3,1.4,3
