TOA,Delta TOA,PW,power,angle
382.4,0,0.5,1.9,37
741.1,358.7,0.5,1.9,37
1143.2,402.1,0.5,1.9,37
1549.3,406.1,0.5,1.9,37
1884.3,335,0.5,1.9,37
2290.4,406.1,0.5,1.9,37
2633.3,342.9,0.5,1.9,37
3027.5,394.2,0.5,1.9,37
3362.6,335.1,0.5,1.9,37
3693.7,331.1,0.5,1.9,37
4048.5,354.8,0.5,1.9,37
4407.2,358.7,0.5,1.9,37
4773.8,366.6,0.5,1.9,37
5168,394.2,0.5,1.9,37
5499.1,331.1,0.5,1.9,37
5857.9,358.8,0.5,1.9,37
6200.8,342.9,0.5,1.9,37
6563.5,362.7,0.5,1.9,37
6914.3,350.8,0.5,1.9,37
7284.9,370.6,0.5,1.9,37
7675.1,390.2,0.5,1.9,37
8018.1,343,0.5,1.9,37
8372.9,354.8,0.5,1.9,37
8739.5,366.6,0.5,1.9,37
9145.5,406,0.5,1.9,37
9527.9,382.4,0.5,1.9,37
9866.9,339,0.5,1.9,37
10269,402.1,0.5,1.9,37
10647.4,378.4,0.5,1.9,37
11045.5,398.1,0.5,1.9,37
11408.2,362.7,0.5,1.9,37
11747.2,339,0.5,1.9,37
12133.5,386.3,0.5,1.9,37
12476.5,343,0.5,1.9,37
12874.6,398.1,0.5,1.9,37
13209.7,335.1,0.5,1.9,37
13603.9,394.2,0.5,1.9,37
13978.4,374.5,0.5,1.9,37
14368.6,390.2,0.5,1.9,37
14743.1,374.5,0.5,1.9,37
15129.4,386.3,0.5,1.9,37
15515.8,386.4,0.5,1.9,37
15866.6,350.8,0.5,1.9,37
16197.7,331.1,0.5,1.9,37
16536.7,339,0.5,1.9,37
16883.6,346.9,0.5,1.9,37
17281.8,398.2,0.5,1.9,37
17672,390.2,0.5,1.9,37
18011,339,0.5,1.9,37
18346.1,335.1,0.5,1.9,37
18720.6,374.5,0.5,1.9,37
19122.7,402.1,0.5,1.9,37
19520.8,398.1,0.5,1.9,37
19899.3,378.5,0.5,1.9,37
20289.5,390.2,0.5,1.9,37
20624.6,335.1,0.5,1.9,37
21014.9,390.3,0.5,1.9,37
21377.5,362.6,0.5,1.9,37
21748.1,370.6,0.5,1.9,37
22130.4,382.3,0.5,1.9,37
22497,366.6,0.5,1.9,37
22832.1,335.1,0.5,1.9,37
23214.5,382.4,0.5,1.9,37
23620.5,406,0.5,1.9,37
23983.2,362.7,0.5,1.9,37
24314.3,331.1,0.5,1.9,37
24712.4,398.1,0.5,1.9,37
25094.8,382.4,0.5,1.9,37
25433.8,339,0.5,1.9,37
25835.9,402.1,0.5,1.9,37
26186.8,350.9,0.5,1.9,37
26533.7,346.9,0.5,1.9,37
26880.5,346.8,0.5,1.9,37
27219.6,339.1,0.5,1.9,37
27558.6,339,0.5,1.9,37
27921.2,362.6,0.5,1.9,37
28256.3,335.1,0.5,1.9,37
28646.6,390.3,0.5,1.9,37
29044.7,398.1,0.5,1.9,37
29387.7,343,0.5,1.9,37
29789.7,402,0.5,1.9,37
30148.5,358.8,0.5,1.9,37
30554.5,406,0.5,1.9,37
30948.7,394.2,0.5,1.9,37
31331.1,382.4,0.5,1.9,37
31689.8,358.7,0.5,1.9,37
32056.4,366.6,0.5,1.9,37
32446.7,390.3,0.5,1.9,37
32825.1,378.4,0.5,1.9,37
33199.6,374.5,0.5,1.9,37
33578,378.4,0.5,1.9,37
33909.1,331.1,0.5,1.9,37
34240.3,331.2,0.5,1.9,37
34642.3,402,0.5,1.9,37
35024.7,382.4,0.5,1.9,37
35359.8,335.1,0.5,1.9,37
35726.4,366.6,0.5,1.9,37
36108.8,382.4,0.5,1.9,37
36495.1,386.3,0.5,1.9,37
36838,342.9,0.5,1.9,37
37244.1,406.1,0.5,1.9,37
37634.3,390.2,0.5,1.9,37
37973.3,339,0.5,1.9,37
38355.7,382.4,0.5,1.9,37
38738.1,382.4,0.5,1.9,37
39073.2,335.1,0.5,1.9,37
39463.4,390.2,0.5,1.9,37
39837.9,374.5,0.5,1.9,37
40208.4,370.5,0.5,1.9,37
40614.5,406.1,0.5,1.9,37
40992.9,378.4,0.5,1.9,37
41343.7,350.8,0.5,1.9,37
41710.4,366.7,0.5,1.9,37
42116.4,406,0.5,1.9,37
42522.4,406,0.5,1.9,37
42869.3,346.9,0.5,1.9,37
43204.4,335.1,0.5,1.9,37
43610.4,406,0.5,1.9,37
43945.5,335.1,0.5,1.9,37
44288.4,342.9,0.5,1.9,37
44623.5,335.1,0.5,1.9,37
44974.3,350.8,0.5,1.9,37
45321.2,346.9,0.5,1.9,37
45660.2,339,0.5,1.9,37
46007.1,346.9,0.5,1.9,37
46397.4,390.3,0.5,1.9,37
46736.4,339,0.5,1.9,37
47126.7,390.3,0.5,1.9,37
47457.8,331.1,0.5,1.9,37
47820.5,362.7,0.5,1.9,37
48198.9,378.4,0.5,1.9,37
48604.9,406,0.5,1.9,37
48951.8,346.9,0.5,1.9,37
49290.8,339,0.5,1.9,37
49633.8,343,0.5,1.9,37
49992.5,358.7,0.5,1.9,37
50367,374.5,0.5,1.9,37
