TOA,Delta TOA,PW,power,angle
553.9,0.0,0.4,1.6,43
1095.7,541.8,0.4,1.6,43
1667.6,571.9,0.4,1.6,43
2209.4,541.8,0.4,1.6,43
2763.2,553.8,0.4,1.6,43
3311,547.8,0.4,1.6,43
3870.9,559.9,0.4,1.6,43
4436.8,565.9,0.4,1.6,43
4978.6,541.8,0.4,1.6,43
5538.4,559.8,0.4,1.6,43
6122.4,584.0,0.4,1.6,43
6682.2,559.8,0.4,1.6,43
7236.1,553.9,0.4,1.6,43
7820,583.9,0.4,1.6,43
8373.9,553.9,0.4,1.6,43
8927.7,553.8,0.4,1.6,43
9499.6,571.9,0.4,1.6,43
10059.5,559.9,0.4,1.6,43
10607.3,547.8,0.4,1.6,43
11155.1,547.8,0.4,1.6,43
11690.9,535.8,0.4,1.6,43
12244.7,553.8,0.4,1.6,43
12780.5,535.8,0.4,1.6,43
13340.4,559.9,0.4,1.6,43
13888.2,547.8,0.4,1.6,43
14424,535.8,0.4,1.6,43
14977.8,553.8,0.4,1.6,43
15561.7,583.9,0.4,1.6,43
16103.5,541.8,0.4,1.6,43
16639.3,535.8,0.4,1.6,43
17211.2,571.9,0.4,1.6,43
17783.1,571.9,0.4,1.6,43
18337,553.9,0.4,1.6,43
18872.7,535.7,0.4,1.6,43
19450.7,578.0,0.4,1.6,43
19998.5,547.8,0.4,1.6,43
20564.4,565.9,0.4,1.6,43
21100.1,535.7,0.4,1.6,43
21648,547.9,0.4,1.6,43
22207.8,559.8,0.4,1.6,43
22761.7,553.9,0.4,1.6,43
23309.5,547.8,0.4,1.6,43
23863.3,553.8,0.4,1.6,43
24399.1,535.8,0.4,1.6,43
24940.9,541.8,0.4,1.6,43
25476.7,535.8,0.4,1.6,43
26030.5,553.8,0.4,1.6,43
26584.4,553.9,0.4,1.6,43
27144.2,559.8,0.4,1.6,43
27692,547.8,0.4,1.6,43
28227.8,535.8,0.4,1.6,43
28799.7,571.9,0.4,1.6,43
29365.6,565.9,0.4,1.6,43
29901.4,535.8,0.4,1.6,43
30491.3,589.9,0.4,1.6,43
31081.3,590.0,0.4,1.6,43
31629.1,547.8,0.4,1.6,43
32201,571.9,0.4,1.6,43
32736.8,535.8,0.4,1.6,43
33320.7,583.9,0.4,1.6,43
33898.7,578.0,0.4,1.6,43
34458.5,559.8,0.4,1.6,43
35048.5,590.0,0.4,1.6,43
35596.3,547.8,0.4,1.6,43
36180.2,583.9,0.4,1.6,43
36716,535.8,0.4,1.6,43
37287.9,571.9,0.4,1.6,43
37829.7,541.8,0.4,1.6,43
38413.7,584.0,0.4,1.6,43
38949.4,535.7,0.4,1.6,43
39515.3,565.9,0.4,1.6,43
40093.2,577.9,0.4,1.6,43
40677.2,584.0,0.4,1.6,43
41237,559.8,0.4,1.6,43
41821,584.0,0.4,1.6,43
42374.8,553.8,0.4,1.6,43
42910.6,535.8,0.4,1.6,43
43458.4,547.8,0.4,1.6,43
44030.3,571.9,0.4,1.6,43
44602.2,571.9,0.4,1.6,43
45144,541.8,0.4,1.6,43
45715.9,571.9,0.4,1.6,43
46275.8,559.9,0.4,1.6,43
46829.6,553.8,0.4,1.6,43
47413.6,584.0,0.4,1.6,43
47967.4,553.8,0.4,1.6,43
48509.2,541.8,0.4,1.6,43
49099.2,590.0,0.4,1.6,43
49671.1,571.9,0.4,1.6,43
50206.8,535.7,0.4,1.6,43
50742.6,535.8,0.4,1.6,43
51332.6,590.0,0.4,1.6,43
51892.4,559.8,0.4,1.6,43
52458.3,565.9,0.4,1.6,43
53036.2,577.9,0.4,1.6,43
53572,535.8,0.4,1.6,43
54149.9,577.9,0.4,1.6,43
54703.8,553.9,0.4,1.6,43
55293.7,589.9,0.4,1.6,43
55859.6,565.9,0.4,1.6,43
56413.5,553.9,0.4,1.6,43
56955.3,541.8,0.4,1.6,43
57491,535.7,0.4,1.6,43
58032.8,541.8,0.4,1.6,43
58568.6,535.8,0.4,1.6,43
59110.4,541.8,0.4,1.6,43
59676.3,565.9,0.4,1.6,43
60248.2,571.9,0.4,1.6,43
60826.1,577.9,0.4,1.6,43
61373.9,547.8,0.4,1.6,43
61933.8,559.9,0.4,1.6,43
62499.7,565.9,0.4,1.6,43
63041.5,541.8,0.4,1.6,43
63601.3,559.8,0.4,1.6,43
64173.2,571.9,0.4,1.6,43
64709,535.8,0.4,1.6,43
65299,590.0,0.4,1.6,43
65846.8,547.8,0.4,1.6,43
66430.7,583.9,0.4,1.6,43
66984.6,553.9,0.4,1.6,43
67544.4,559.8,0.4,1.6,43
68086.2,541.8,0.4,1.6,43
68652.1,565.9,0.4,1.6,43
69230,577.9,0.4,1.6,43
69820,590.0,0.4,1.6,43
70385.9,565.9,0.4,1.6,43
70975.8,589.9,0.4,1.6,43
71511.6,535.8,0.4,1.6,43
72071.5,559.9,0.4,1.6,43
72643.4,571.9,0.4,1.6,43
73215.3,571.9,0.4,1.6,43
73805.2,589.9,0.4,1.6,43
74371.1,565.9,0.4,1.6,43
74937,565.9,0.4,1.6,43
75514.9,577.9,0.4,1.6,43
76104.9,590.0,0.4,1.6,43
76682.8,577.9,0.4,1.6,43
77236.6,553.8,0.4,1.6,43
77808.5,571.9,0.4,1.6,43
78368.4,559.9,0.4,1.6,43
78940.3,571.9,0.4,1.6,43
79500.2,559.9,0.4,1.6,43
80066,565.8,0.4,1.6,43
80644,578.0,0.4,1.6,43
81191.8,547.8,0.4,1.6,43
81781.7,589.9,0.4,1.6,43
82323.5,541.8,0.4,1.6,43
82871.4,547.9,0.4,1.6,43
83437.2,565.8,0.4,1.6,43
83979,541.8,0.4,1.6,43
84514.8,535.8,0.4,1.6,43
85080.7,565.9,0.4,1.6,43
85640.6,559.9,0.4,1.6,43
