TOA,Delta TOA,PW,power,angle
255,0,0.5,1.8,40
510,255,0.5,1.8,40
765,255,0.5,1.8,40
1020,255,0.5,1.8,40
1275,255,0.5,1.8,40
1530,255,0.5,1.8,40
1785,255,0.5,1.8,40
2040,255,0.5,1.8,40
2295,255,0.5,1.8,40
2550,255,0.5,1.8,40
2805,255,0.5,1.8,40
3060,255,0.5,1.8,40
3315,255,0.5,1.8,40
3570,255,0.5,1.8,40
3825,255,0.5,1.8,40
4080,255,0.5,1.8,40
4335,255,0.5,1.8,40
4590,255,0.5,1.8,40
4845,255,0.5,1.8,40
5100,255,0.5,1.8,40
5355,255,0.5,1.8,40
5610,255,0.5,1.8,40
5865,255,0.5,1.8,40
6120,255,0.5,1.8,40
6375,255,0.5,1.8,40
6630,255,0.5,1.8,40
6885,255,0.5,1.8,40
7140,255,0.5,1.8,40
7395,255,0.5,1.8,40
7650,255,0.5,1.8,40
7905,255,0.5,1.8,40
8160,255,0.5,1.8,40
8415,255,0.5,1.8,40
8670,255,0.5,1.8,40
8925,255,0.5,1.8,40
9180,255,0.5,1.8,40
9435,255,0.5,1.8,40
9690,255,0.5,1.8,40
9945,255,0.5,1.8,40
10200,255,0.5,1.8,40
10455,255,0.5,1.8,40
10710,255,0.5,1.8,40
10965,255,0.5,1.8,40
11220,255,0.5,1.8,40
11475,255,0.5,1.8,40
11730,255,0.5,1.8,40
11985,255,0.5,1.8,40
12240,255,0.5,1.8,40
12495,255,0.5,1.8,40
12750,255,0.5,1.8,40
13005,255,0.5,1.8,40
13260,255,0.5,1.8,40
13515,255,0.5,1.8,40
13770,255,0.5,1.8,40
14025,255,0.5,1.8,40
14280,255,0.5,1.8,40
14535,255,0.5,1.8,40
14790,255,0.5,1.8,40
15045,255,0.5,1.8,40
15300,255,0.5,1.8,40
15555,255,0.5,1.8,40
15810,255,0.5,1.8,40
16065,255,0.5,1.8,40
16320,255,0.5,1.8,40
16575,255,0.5,1.8,40
16830,255,0.5,1.8,40
17085,255,0.5,1.8,40
17340,255,0.5,1.8,40
17595,255,0.5,1.8,40
17850,255,0.5,1.8,40
18105,255,0.5,1.8,40
18360,255,0.5,1.8,40
18615,255,0.5,1.8,40
18870,255,0.5,1.8,40
19125,255,0.5,1.8,40
19380,255,0.5,1.8,40
19635,255,0.5,1.8,40
19890,255,0.5,1.8,40
20145,255,0.5,1.8,40
20400,255,0.5,1.8,40
20655,255,0.5,1.8,40
20910,255,0.5,1.8,40
21165,255,0.5,1.8,40
21420,255,0.5,1.8,40
21675,255,0.5,1.8,40
21930,255,0.5,1.8,40
22185,255,0.5,1.8,40
22440,255,0.5,1.8,40
22695,255,0.5,1.8,40
22950,255,0.5,1.8,40
23205,255,0.5,1.8,40
23460,255,0.5,1.8,40
23715,255,0.5,1.8,40
23970,255,0.5,1.8,40
24225,255,0.5,1.8,40
24480,255,0.5,1.8,40
24735,255,0.5,1.8,40
24990,255,0.5,1.8,40
25245,255,0.5,1.8,40
25500,255,0.5,1.8,40
25755,255,0.5,1.8,40
26010,255,0.5,1.8,40
26265,255,0.5,1.8,40
26520,255,0.5,1.8,40
26775,255,0.5,1.8,40
27030,255,0.5,1.8,40
27285,255,0.5,1.8,40
27540,255,0.5,1.8,40
27795,255,0.5,1.8,40
28050,255,0.5,1.8,40
28305,255,0.5,1.8,40
28560,255,0.5,1.8,40
28815,255,0.5,1.8,40
29070,255,0.5,1.8,40
29325,255,0.5,1.8,40
29580,255,0.5,1.8,40
29835,255,0.5,1.8,40
30090,255,0.5,1.8,40
30345,255,0.5,1.8,40
30600,255,0.5,1.8,40
30855,255,0.5,1.8,40
31110,255,0.5,1.8,40
31365,255,0.5,1.8,40
31620,255,0.5,1.8,40
31875,255,0.5,1.8,40
32130,255,0.5,1.8,40
32385,255,0.5,1.8,40
32640,255,0.5,1.8,40
32895,255,0.5,1.8,40
33150,255,0.5,1.8,40
33405,255,0.5,1.8,40
33660,255,0.5,1.8,40
33915,255,0.5,1.8,40
34170,255,0.5,1.8,40
34425,255,0.5,1.8,40
34680,255,0.5,1.8,40
34935,255,0.5,1.8,40
35190,255,0.5,1.8,40
